,New DB,,,,,,Old DB,,,,todo
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,10(ThreePillars),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,5(חברת הואוצ'ר),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,11(Cache),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,11(Cache),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,1(עסקים אנגליה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,11(Cache),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,4(צרפת),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,7(odoo),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,11(Cache),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,5(קנדה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,2(עסקים קנדה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,11(Cache),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,12(Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,12(Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,1(עסקים אנגליה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,12(Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,4(צרפת),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,7(odoo),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,12(Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,5(קנדה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,2(עסקים קנדה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,12(Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,13(Authorize Phone Credit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,14(Phone Credit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,4(צרפת),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,7(odoo),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,15(SagePay Phone Credit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,1(עסקים אנגליה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,16(Asakim Phone Credit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,17(BeanStream Phone Credit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,5(קנדה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,2(עסקים קנדה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,18(Smartpay Phone Check),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,19(BankTransfer),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,19(BankTransfer),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,1(עסקים אנגליה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,19(BankTransfer),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,4(צרפת),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,7(odoo),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,19(BankTransfer),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,5(קנדה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,2(עסקים קנדה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,19(BankTransfer),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,20(BankStandingOrder),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,21(Bit),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,22(Other),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,1(ישראל),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,3(עסקים ישראל),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,22(Other),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,2(אנגליה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,1(עסקים אנגליה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,22(Other),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,4(צרפת),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,7(odoo),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,22(Other),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,5(קנדה),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,2(עסקים קנדה),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,Id,int,NO,,,auto,,,,
2,ClearingMethodCountryDefinition,ClearingMethodId,int,NO,,,const,,,22(Other),
2,ClearingMethodCountryDefinition,Area,int,NO,,,const,,,3(ארצות הברית),
2,ClearingMethodCountryDefinition,ReceiptBy,int,NO,,,const,,,4(360),
2,ClearingMethodCountryDefinition,RecordStatus,int,NO,,,const,,,2(Accept),
2,ClearingMethodCountryDefinition,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,StatusChangedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,CreatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,CreatedBy,int,NO,,,const,,,-1,
2,ClearingMethodCountryDefinition,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
2,ClearingMethodCountryDefinition,UpdatedBy,int,NO,,,const,,,-1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
